,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3220,2012-10-18,1410.4511676796144,1292.5940734794065,1540.5198103970401,1410.4511676796144,1410.4511676796144,0.82682174499436,0.82682174499436,0.82682174499436,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093796783,1.4781520093796783,1.4781520093796783,-16.578155901281196,-16.578155901281196,-16.578155901281196,0.0,0.0,0.0,1411.2779894246087
3221,2012-10-19,1410.9021733384573,1287.1575992276476,1523.9098964718144,1410.9021733384573,1410.9021733384573,0.19879746774686302,0.19879746774686302,0.19879746774686302,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539597902,0.15432435539597902,0.15432435539597902,-15.88235252454499,-15.88235252454499,-15.88235252454499,0.0,0.0,0.0,1411.100970806204
3222,2012-10-22,1412.2551903149842,1285.404977219347,1529.2791480520868,1412.2551903149842,1412.2551903149842,2.3692291151815024,2.3692291151815024,2.3692291151815024,15.926825636895877,15.926825636895877,15.926825636895877,-0.14436516631317953,-0.14436516631317953,-0.14436516631317953,-13.413231355401196,-13.413231355401196,-13.413231355401196,0.0,0.0,0.0,1414.6244194301657
3223,2012-10-23,1412.706195973827,1295.281086299034,1549.8168199012412,1412.706195973827,1412.706195973827,4.928774354177573,4.928774354177573,4.928774354177573,15.926825636895877,15.926825636895877,15.926825636895877,1.506039155063122,1.506039155063122,1.506039155063122,-12.504090437781429,-12.504090437781429,-12.504090437781429,0.0,0.0,0.0,1417.6349703280048
3224,2012-10-24,1413.1572016326695,1296.4266300071017,1551.6462162413354,1413.1572016326695,1413.1572016326695,5.340965553963359,5.340965553963359,5.340965553963359,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697535952,0.9875578697535952,0.9875578697535952,-11.573417952686112,-11.573417952686112,-11.573417952686112,0.0,0.0,0.0,1418.4981671866328
3225,2012-10-25,1413.6082072915121,1298.296329234704,1553.455404385749,1413.6082072915121,1413.6082072915121,6.77093168224206,6.77093168224206,6.77093168224206,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093804907,1.4781520093804907,1.4781520093804907,-10.634045964034309,-10.634045964034309,-10.634045964034309,0.0,0.0,0.0,1420.3791389737542
3226,2012-10-26,1414.059212950355,1300.9774484082682,1544.0002846771483,1414.059212950355,1414.059212950355,6.382833608197823,6.382833608197823,6.382833608197823,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539485392,0.15432435539485392,0.15432435539485392,-9.698316384092909,-9.698316384092909,-9.698316384092909,0.0,0.0,0.0,1420.4420465585529
3227,2012-10-31,1416.3142412445673,1302.4621306013623,1547.9634635747154,1416.3142412445673,1416.3142412445673,11.478189897869198,11.478189897869198,11.478189897869198,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697531924,0.9875578697531924,0.9875578697531924,-5.436193608779872,-5.436193608779872,-5.436193608779872,0.0,0.0,0.0,1427.7924311424365
3228,2012-11-01,1416.7652469034101,1304.3817910179212,1547.0517997009788,1416.7652469034101,1416.7652469034101,12.685441783675861,12.685441783675861,12.685441783675861,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093789238,1.4781520093789238,1.4781520093789238,-4.719535862598943,-4.719535862598943,-4.719535862598943,0.0,0.0,0.0,1429.450688687086
3229,2012-11-02,1417.216252562252,1301.7653449741642,1553.5402774776728,1417.216252562252,1417.216252562252,12.023562276199451,12.023562276199451,12.023562276199451,15.926825636895877,15.926825636895877,15.926825636895877,0.1543243553937289,0.1543243553937289,0.1543243553937289,-4.057587716090158,-4.057587716090158,-4.057587716090158,0.0,0.0,0.0,1429.2398148384516
3230,2012-11-05,1418.56926953878,1314.2221376915986,1561.9367973334993,1418.56926953878,1418.56926953878,13.388606065174555,13.388606065174555,13.388606065174555,15.926825636895877,15.926825636895877,15.926825636895877,-0.14436516631283183,-0.14436516631283183,-0.14436516631283183,-2.393854405408493,-2.393854405408493,-2.393854405408493,0.0,0.0,0.0,1431.9578756039546
3231,2012-11-06,1419.0202751976228,1308.274630553258,1546.9597785274698,1419.0202751976228,1419.0202751976228,15.497127924824568,15.497127924824568,15.497127924824568,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550636374,1.5060391550636374,1.5060391550636374,-1.935736867134948,-1.935736867134948,-1.935736867134948,0.0,0.0,0.0,1434.5174031224474
3232,2012-11-07,1419.471280856465,1312.5887834382306,1554.7368735176128,1419.471280856465,1419.471280856465,15.397895140014992,15.397895140014992,15.397895140014992,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697532997,0.9875578697532997,0.9875578697532997,-1.5164883666341853,-1.5164883666341853,-1.5164883666341853,0.0,0.0,0.0,1434.86917599648
3233,2012-11-08,1419.9222865153079,1307.1158348031922,1554.5151759320447,1419.9222865153079,1419.9222865153079,16.276381794405914,16.276381794405914,16.276381794405914,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093800296,1.4781520093800296,1.4781520093800296,-1.128595851869994,-1.128595851869994,-1.128595851869994,0.0,0.0,0.0,1436.1986683097139
3234,2012-11-09,1420.3732921741498,1306.591980476547,1556.2730818759594,1420.3732921741498,1420.3732921741498,15.31749608745707,15.31749608745707,15.31749608745707,15.926825636895877,15.926825636895877,15.926825636895877,0.1543243553950924,0.1543243553950924,0.1543243553950924,-0.7636539048339013,-0.7636539048339013,-0.7636539048339013,0.0,0.0,0.0,1435.690788261607
3235,2012-11-12,1421.7263091506775,1313.49931176174,1556.5053187871777,1421.7263091506775,1421.7263091506775,16.066841623130863,16.066841623130863,16.066841623130863,15.926825636895877,15.926825636895877,15.926825636895877,-0.1443651663124742,-0.1443651663124742,-0.1443651663124742,0.2843811525474559,0.2843811525474559,0.2843811525474559,0.0,0.0,0.0,1437.7931507738083
3236,2012-11-13,1422.5798890728838,1318.7284723111943,1561.6343674283019,1422.5798890728838,1422.5798890728838,18.08129176042539,18.08129176042539,18.08129176042539,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550638952,1.5060391550638952,1.5060391550638952,0.648426968465615,0.648426968465615,0.648426968465615,0.0,0.0,0.0,1440.6611808333091
3237,2012-11-14,1423.4334689950895,1317.2987294517375,1561.7623085215948,1423.4334689950895,1423.4334689950895,17.9482078172614,17.9482078172614,17.9482078172614,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697534539,0.9875578697534539,0.9875578697534539,1.0338243106120677,1.0338243106120677,1.0338243106120677,0.0,0.0,0.0,1441.3816768123509
3238,2012-11-15,1424.2870489172958,1322.5667984681493,1561.2571256150177,1424.2870489172958,1424.2870489172958,18.852613821244358,18.852613821244358,18.852613821244358,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093796519,1.4781520093796519,1.4781520093796519,1.4476361749688254,1.4476361749688254,1.4476361749688254,0.0,0.0,0.0,1443.1396627385402
3239,2012-11-16,1425.1406288395021,1323.4029406652812,1566.6952263092542,1425.1406288395021,1425.1406288395021,17.976799666060504,17.976799666060504,17.976799666060504,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539560047,0.15432435539560047,0.15432435539560047,1.8956496737690252,1.8956496737690252,1.8956496737690252,0.0,0.0,0.0,1443.1174285055627
3240,2012-11-19,1427.7013686061205,1316.4502852584878,1575.7066814898576,1427.7013686061205,1427.7013686061205,19.26172129683326,19.26172129683326,19.26172129683326,15.926825636895877,15.926825636895877,15.926825636895877,-0.1443651663144769,-0.1443651663144769,-0.1443651663144769,3.479260826251861,3.479260826251861,3.479260826251861,0.0,0.0,0.0,1446.9630899029537
3241,2012-11-20,1428.5549485283261,1326.1762315580763,1568.4527044668805,1428.5549485283261,1428.5549485283261,21.522485718434897,21.522485718434897,21.522485718434897,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550633423,1.5060391550633423,1.5060391550633423,4.089620926475673,4.089620926475673,4.089620926475673,0.0,0.0,0.0,1450.077434246761
3242,2012-11-21,1429.4085284505325,1337.9244639347094,1576.9752830637444,1429.4085284505325,1429.4085284505325,21.652288995779056,21.652288995779056,21.652288995779056,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697535619,0.9875578697535619,0.9875578697535619,4.737905489129614,4.737905489129614,4.737905489129614,0.0,0.0,0.0,1451.0608174463116
3243,2012-11-23,1431.1156882949444,1327.1321978978037,1572.6991662951798,1431.1156882949444,1431.1156882949444,22.20873666736392,22.20873666736392,22.20873666736392,15.926825636895877,15.926825636895877,15.926825636895877,0.1543243553928423,0.1543243553928423,0.1543243553928423,6.127586675075196,6.127586675075196,6.127586675075196,0.0,0.0,0.0,1453.3244249623083
